[2026-08-22 11:41:19,334] INFO [classification:30] Loading full Shopify taxonomy into cache (14,606 categories)...
[2026-08-22 11:41:19,576] INFO [classification:50] Phase 9 verification log entry test.
[2026-08-22 15:10:10,422] INFO [classification:51] Processing Product #13: 'Volt Storage Upholstered Vinyl Ottoman by Modway'
[2026-08-22 15:10:40,621] INFO [classification:166] Successfully classified product #13 -> 'Furniture > Ottomans' (Confidence: 0.99)
[2026-08-22 15:10:40,648] INFO [classification:51] Processing Product #14: 'Path Dining Wood Side Chair by Modway'
[2026-08-22 15:11:05,286] INFO [classification:166] Successfully classified product #14 -> 'Furniture > Chairs > Kitchen & Dining Room Chairs' (Confidence: 0.99)
[2026-08-22 15:11:05,311] INFO [classification:51] Processing Product #15: 'Track Round Dining Table by Modway'
[2026-08-22 15:11:18,696] INFO [classification:166] Successfully classified product #15 -> 'Furniture > Tables > Kitchen & Dining Room Tables' (Confidence: 0.85)
[2026-08-22 15:11:18,711] INFO [classification:51] Processing Product #16: 'Track Round Dining Table by Modway'
[2026-08-22 15:11:24,709] INFO [classification:166] Successfully classified product #16 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:11:24,740] INFO [classification:51] Processing Product #17: 'Finesse Highback Office Chair by Modway'
[2026-08-22 15:11:31,014] INFO [classification:166] Successfully classified product #17 -> 'Furniture > Office Furniture' (Confidence: 0.60)
[2026-08-22 15:11:31,053] INFO [classification:51] Processing Product #18: 'Entreat Dining Side Chair by Modway'
[2026-08-22 15:11:37,176] INFO [classification:166] Successfully classified product #18 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:11:37,215] INFO [classification:51] Processing Product #19: 'Amish Wood Bar Stool by Modway'
[2026-08-22 15:11:43,670] INFO [classification:166] Successfully classified product #19 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:11:43,696] INFO [classification:51] Processing Product #20: 'Stalwart Dining Side Chair by Modway'
[2026-08-22 15:11:50,559] INFO [classification:166] Successfully classified product #20 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:11:50,593] INFO [classification:51] Processing Product #21: 'Stalwart Dining Side Chair by Modway'
[2026-08-22 15:11:56,789] INFO [classification:166] Successfully classified product #21 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:11:56,823] INFO [classification:51] Processing Product #22: 'Fuse Dining Side Chair by Modway'
[2026-08-22 15:12:03,323] INFO [classification:166] Successfully classified product #22 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:03,359] INFO [classification:51] Processing Product #23: 'Lippa 28" Round Wood Dining Table by Modway'
[2026-08-22 15:12:08,064] INFO [classification:166] Successfully classified product #23 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:08,099] INFO [classification:51] Processing Product #24: 'Lippa 36" Round Wood Dining Table by Modway'
[2026-08-22 15:12:12,870] INFO [classification:166] Successfully classified product #24 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:12,897] INFO [classification:51] Processing Product #25: 'Lippa 40" Round Wood Dining Table by Modway'
[2026-08-22 15:12:16,866] INFO [classification:166] Successfully classified product #25 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:16,903] INFO [classification:51] Processing Product #26: 'Lippa 48" Round Wood Dining Table by Modway'
[2026-08-22 15:12:21,254] INFO [classification:166] Successfully classified product #26 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:21,279] INFO [classification:51] Processing Product #27: 'Lippa 54" Round Wood Dining Table by Modway'
[2026-08-22 15:12:25,726] INFO [classification:166] Successfully classified product #27 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:25,750] INFO [classification:51] Processing Product #28: 'Lippa 60" Round Wood Dining Table by Modway'
[2026-08-22 15:12:30,122] INFO [classification:166] Successfully classified product #28 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:30,144] INFO [classification:51] Processing Product #29: 'Lippa 60" Oval Wood Dining Table by Modway'
[2026-08-22 15:12:34,691] INFO [classification:166] Successfully classified product #29 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:34,731] INFO [classification:51] Processing Product #30: 'Lippa 24" Square Wood Dining Table by Modway'
[2026-08-22 15:12:39,260] INFO [classification:166] Successfully classified product #30 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:39,292] INFO [classification:51] Processing Product #31: 'Lippa 28" Square Wood Dining Table by Modway'
[2026-08-22 15:12:43,821] INFO [classification:166] Successfully classified product #31 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:43,857] INFO [classification:51] Processing Product #32: 'Lippa 36" Square Wood Dining Table by Modway'
[2026-08-22 15:12:48,384] INFO [classification:166] Successfully classified product #32 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:48,410] INFO [classification:51] Processing Product #33: 'Lippa 48" Square Wood Dining Table by Modway'
[2026-08-22 15:12:52,744] INFO [classification:166] Successfully classified product #33 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:52,781] INFO [classification:51] Processing Product #34: 'Lippa 28" Round Faux Marble Dining Table by Modway'
[2026-08-22 15:12:57,863] INFO [classification:166] Successfully classified product #34 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:12:57,886] INFO [classification:51] Processing Product #35: 'Lippa 36" Round Faux Marble Dining Table by Modway'
[2026-08-22 15:13:02,852] INFO [classification:166] Successfully classified product #35 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:13:02,870] INFO [classification:51] Processing Product #36: 'Lippa 40" Round Faux Marble Dining Table by Modway'
[2026-08-22 15:13:07,777] INFO [classification:166] Successfully classified product #36 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:13:07,819] INFO [classification:51] Processing Product #37: 'Lippa 48" Round Faux Marble Dining Table by Modway'
[2026-08-22 15:13:12,732] INFO [classification:166] Successfully classified product #37 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:13:12,766] INFO [classification:51] Processing Product #38: 'Lippa 54" Round Faux Marble Dining Table by Modway'
[2026-08-22 15:13:17,240] INFO [classification:166] Successfully classified product #38 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:13:17,268] INFO [classification:51] Processing Product #39: 'Lippa 60" Round Faux Marble Dining Table by Modway'
[2026-08-22 15:13:21,911] INFO [classification:166] Successfully classified product #39 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:13:21,932] INFO [classification:51] Processing Product #40: 'Lippa 54" Oval Faux Marble Dining Table by Modway'
[2026-08-22 15:13:26,272] INFO [classification:166] Successfully classified product #40 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:13:26,308] INFO [classification:51] Processing Product #41: 'Lippa 60" Oval Faux Marble Dining Table by Modway'
[2026-08-22 15:13:30,899] INFO [classification:166] Successfully classified product #41 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:13:30,924] INFO [classification:51] Processing Product #42: 'Lippa 36" Round Wood Dining Table by Modway'
[2026-08-22 15:13:37,086] INFO [classification:166] Successfully classified product #42 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:13:37,111] INFO [classification:51] Processing Product #43: 'Lippa 60" Oval Wood Dining Table by Modway'
[2026-08-22 15:13:42,888] INFO [classification:166] Successfully classified product #43 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:13:42,918] INFO [classification:51] Processing Product #44: 'Lippa 42" Oval Wood Coffee Table by Modway'
[2026-08-22 15:13:47,294] INFO [classification:166] Successfully classified product #44 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:13:47,321] INFO [classification:51] Processing Product #45: 'Marina Outdoor Patio Teak Armchair by Modway'
[2026-08-22 15:13:54,846] INFO [classification:166] Successfully classified product #45 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:13:54,874] INFO [classification:51] Processing Product #46: 'Marina Outdoor Patio Teak Armchair by Modway'
[2026-08-22 15:14:01,769] INFO [classification:166] Successfully classified product #46 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:14:01,796] INFO [classification:51] Processing Product #47: 'Marina Outdoor Patio Teak Armchair by Modway'
[2026-08-22 15:14:08,872] INFO [classification:166] Successfully classified product #47 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:14:08,902] INFO [classification:51] Processing Product #48: 'Marina Outdoor Patio Teak Loveseat by Modway'
[2026-08-22 15:14:15,901] INFO [classification:166] Successfully classified product #48 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:14:15,933] INFO [classification:51] Processing Product #49: 'Marina Outdoor Patio Teak Loveseat by Modway'
[2026-08-22 15:14:22,232] INFO [classification:166] Successfully classified product #49 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:14:22,259] INFO [classification:51] Processing Product #50: 'Marina Outdoor Patio Teak Loveseat by Modway'
[2026-08-22 15:14:28,719] INFO [classification:166] Successfully classified product #50 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:14:28,751] INFO [classification:51] Processing Product #51: 'Marina Outdoor Patio Teak Corner Sofa by Modway'
[2026-08-22 15:14:36,258] INFO [classification:166] Successfully classified product #51 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:14:36,291] INFO [classification:51] Processing Product #52: 'Marina Outdoor Patio Teak Corner Sofa by Modway'
[2026-08-22 15:14:42,476] INFO [classification:166] Successfully classified product #52 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:14:42,508] INFO [classification:51] Processing Product #53: 'Marina Outdoor Patio Teak Corner Sofa by Modway'
[2026-08-22 15:14:48,885] INFO [classification:166] Successfully classified product #53 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:14:48,920] INFO [classification:51] Processing Product #54: 'Marina Outdoor Patio Teak Left-Facing Sofa by Modway'
[2026-08-22 15:14:56,486] INFO [classification:166] Successfully classified product #54 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:14:56,515] INFO [classification:51] Processing Product #55: 'Marina Outdoor Patio Teak Left-Facing Sofa by Modway'
[2026-08-22 15:15:03,015] INFO [classification:166] Successfully classified product #55 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:15:03,039] INFO [classification:51] Processing Product #56: 'Marina Outdoor Patio Teak Left-Facing Sofa by Modway'
[2026-08-22 15:15:15,365] INFO [classification:166] Successfully classified product #56 -> 'Furniture > Outdoor Furniture' (Confidence: 0.80)
[2026-08-22 15:15:15,392] INFO [classification:51] Processing Product #57: 'Marina Outdoor Patio Teak Right-Facing Sofa by Modway'
[2026-08-22 15:15:22,933] INFO [classification:166] Successfully classified product #57 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:15:22,954] INFO [classification:51] Processing Product #58: 'Marina Outdoor Patio Teak Right-Facing Sofa by Modway'
[2026-08-22 15:15:29,116] INFO [classification:166] Successfully classified product #58 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:15:29,140] INFO [classification:51] Processing Product #59: 'Marina Outdoor Patio Teak Right-Facing Sofa by Modway'
[2026-08-22 15:15:34,033] INFO [classification:166] Successfully classified product #59 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:15:34,045] INFO [classification:51] Processing Product #60: 'Marina Armless Outdoor Patio Teak Sofa by Modway'
[2026-08-22 15:15:39,425] INFO [classification:166] Successfully classified product #60 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:15:39,444] INFO [classification:51] Processing Product #61: 'Marina Armless Outdoor Patio Teak Sofa by Modway'
[2026-08-22 15:15:43,928] INFO [classification:166] Successfully classified product #61 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:15:43,939] INFO [classification:51] Processing Product #62: 'Marina Armless Outdoor Patio Teak Sofa by Modway'
[2026-08-22 15:15:48,275] INFO [classification:166] Successfully classified product #62 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:15:48,285] INFO [classification:51] Processing Product #63: 'Marina Outdoor Patio Teak Single Chaise by Modway'
[2026-08-22 15:15:52,985] INFO [classification:166] Successfully classified product #63 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:15:52,999] INFO [classification:51] Processing Product #64: 'Marina Outdoor Patio Teak Single Chaise by Modway'
[2026-08-22 15:15:57,462] INFO [classification:166] Successfully classified product #64 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:15:57,475] INFO [classification:51] Processing Product #65: 'Marina Outdoor Patio Teak Single Chaise by Modway'
[2026-08-22 15:16:01,775] INFO [classification:166] Successfully classified product #65 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:16:01,786] INFO [classification:51] Processing Product #66: 'Marina Outdoor Patio Teak Ottoman by Modway'
[2026-08-22 15:16:06,785] INFO [classification:166] Successfully classified product #66 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:16:06,794] INFO [classification:51] Processing Product #67: 'Marina Outdoor Patio Teak Ottoman by Modway'
[2026-08-22 15:16:11,300] INFO [classification:166] Successfully classified product #67 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:16:11,309] INFO [classification:51] Processing Product #68: 'Marina Outdoor Patio Teak Ottoman by Modway'
[2026-08-22 15:16:17,271] INFO [classification:166] Successfully classified product #68 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:16:17,281] INFO [classification:51] Processing Product #69: 'Marina Outdoor Patio Teak Round Coffee Table by Modway'
[2026-08-22 15:16:21,717] INFO [classification:166] Successfully classified product #69 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:16:21,725] INFO [classification:51] Processing Product #70: 'Marina Outdoor Patio Teak Rectangle Coffee Table by Modway'
[2026-08-22 15:16:27,527] INFO [classification:166] Successfully classified product #70 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:16:27,546] INFO [classification:51] Processing Product #71: 'Marina Outdoor Patio Teak Side Table by Modway'
[2026-08-22 15:16:34,195] INFO [classification:166] Successfully classified product #71 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:16:34,223] INFO [classification:51] Processing Product #72: 'Peer Outdoor Patio Chaise Set of 2 by Modway'
[2026-08-22 15:16:39,035] INFO [classification:166] Successfully classified product #72 -> 'Furniture > Outdoor Furniture' (Confidence: 0.60)
[2026-08-22 15:16:39,051] INFO [classification:51] Processing Product #73: 'Reverb Premium Office Chair by Modway'
[2026-08-22 15:16:43,828] INFO [classification:166] Successfully classified product #73 -> 'Furniture > Office Furniture' (Confidence: 0.60)
[2026-08-22 15:16:43,839] INFO [classification:51] Processing Product #74: 'Engage Upholstered Fabric Armchair by Modway'
[2026-08-22 15:16:49,540] INFO [classification:166] Successfully classified product #74 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:16:49,553] INFO [classification:51] Processing Product #75: 'Engage Upholstered Fabric Armchair by Modway'
[2026-08-22 15:16:55,170] INFO [classification:166] Successfully classified product #75 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:16:55,195] INFO [classification:51] Processing Product #76: 'Engage Upholstered Fabric Armchair by Modway'
[2026-08-22 15:17:04,246] INFO [classification:166] Successfully classified product #76 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:04,284] INFO [classification:51] Processing Product #77: 'Engage Upholstered Fabric Armchair by Modway'
[2026-08-22 15:17:13,116] INFO [classification:166] Successfully classified product #77 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:13,128] INFO [classification:51] Processing Product #78: 'Engage Upholstered Fabric Armchair by Modway'
[2026-08-22 15:17:17,720] INFO [classification:166] Successfully classified product #78 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:17,729] INFO [classification:51] Processing Product #79: 'Engage Upholstered Fabric Loveseat by Modway'
[2026-08-22 15:17:22,598] INFO [classification:166] Successfully classified product #79 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:22,612] INFO [classification:51] Processing Product #80: 'Engage Upholstered Fabric Loveseat by Modway'
[2026-08-22 15:17:27,273] INFO [classification:166] Successfully classified product #80 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:27,282] INFO [classification:51] Processing Product #81: 'Engage Upholstered Fabric Loveseat by Modway'
[2026-08-22 15:17:32,169] INFO [classification:166] Successfully classified product #81 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:32,179] INFO [classification:51] Processing Product #82: 'Engage Upholstered Fabric Loveseat by Modway'
[2026-08-22 15:17:37,109] INFO [classification:166] Successfully classified product #82 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:37,123] INFO [classification:51] Processing Product #83: 'Engage Upholstered Fabric Sofa by Modway'
[2026-08-22 15:17:41,523] INFO [classification:166] Successfully classified product #83 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:41,535] INFO [classification:51] Processing Product #84: 'Engage Upholstered Fabric Sofa by Modway'
[2026-08-22 15:17:46,163] INFO [classification:166] Successfully classified product #84 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:46,176] INFO [classification:51] Processing Product #85: 'Engage Upholstered Fabric Sofa by Modway'
[2026-08-22 15:17:51,312] INFO [classification:166] Successfully classified product #85 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:51,323] INFO [classification:51] Processing Product #86: 'Engage Upholstered Fabric Sofa by Modway'
[2026-08-22 15:17:55,956] INFO [classification:166] Successfully classified product #86 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:17:55,969] INFO [classification:51] Processing Product #87: 'Procure Wood Bar Stool by Modway'
[2026-08-22 15:18:00,204] INFO [classification:166] Successfully classified product #87 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:00,215] INFO [classification:51] Processing Product #88: 'Casper Dining Armchair by Modway'
[2026-08-22 15:18:04,331] INFO [classification:166] Successfully classified product #88 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:04,340] INFO [classification:51] Processing Product #89: 'Casper Dining Armchair by Modway'
[2026-08-22 15:18:08,678] INFO [classification:166] Successfully classified product #89 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:08,693] INFO [classification:51] Processing Product #90: 'Casper Dining Armchair by Modway'
[2026-08-22 15:18:12,948] INFO [classification:166] Successfully classified product #90 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:12,962] INFO [classification:51] Processing Product #91: 'Casper Dining Armchair by Modway'
[2026-08-22 15:18:17,459] INFO [classification:166] Successfully classified product #91 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:17,469] INFO [classification:51] Processing Product #92: 'Casper Dining Armchair by Modway'
[2026-08-22 15:18:21,806] INFO [classification:166] Successfully classified product #92 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:21,819] INFO [classification:51] Processing Product #93: 'Casper Dining Side Chair by Modway'
[2026-08-22 15:18:26,140] INFO [classification:166] Successfully classified product #93 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:26,150] INFO [classification:51] Processing Product #94: 'Casper Dining Side Chair by Modway'
[2026-08-22 15:18:30,379] INFO [classification:166] Successfully classified product #94 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:30,401] INFO [classification:51] Processing Product #95: 'Casper Dining Side Chair by Modway'
[2026-08-22 15:18:34,868] INFO [classification:166] Successfully classified product #95 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:34,876] INFO [classification:51] Processing Product #96: 'Casper Dining Side Chair by Modway'
[2026-08-22 15:18:39,148] INFO [classification:166] Successfully classified product #96 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:39,162] INFO [classification:51] Processing Product #97: 'Eileen Gray Metal Side Table by Modway'
[2026-08-22 15:18:42,813] INFO [classification:166] Successfully classified product #97 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:18:42,823] INFO [classification:51] Processing Product #98: 'Eileen Gray Metal Side Table by Modway'
[2026-08-22 15:18:46,588] INFO [classification:166] Successfully classified product #98 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:18:46,603] INFO [classification:51] Processing Product #99: 'Casper Bar Stool Set of 2 by Modway'
[2026-08-22 15:18:50,983] INFO [classification:166] Successfully classified product #99 -> 'Home & Garden > Kitchen & Dining' (Confidence: 0.60)
[2026-08-22 15:18:50,997] INFO [classification:51] Processing Product #100: 'Empress Upholstered Fabric Armchair Set of 2 by Modway'
[2026-08-22 15:18:55,503] INFO [classification:166] Successfully classified product #100 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:18:55,518] INFO [classification:51] Processing Product #101: 'Empress Upholstered Fabric Armchair Set of 2 by Modway'
[2026-08-22 15:18:59,997] INFO [classification:166] Successfully classified product #101 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:19:00,008] INFO [classification:51] Processing Product #102: 'Engage Wood Armchair Set of 2 by Modway'
[2026-08-22 15:19:04,896] INFO [classification:166] Successfully classified product #102 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:19:04,907] INFO [classification:51] Processing Product #103: 'Engage Wood Armchair Set of 2 by Modway'
[2026-08-22 15:19:11,692] INFO [classification:166] Successfully classified product #103 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:19:11,721] INFO [classification:51] Processing Product #104: 'Engage Wood Armchair Set of 2 by Modway'
[2026-08-22 15:19:18,310] INFO [classification:166] Successfully classified product #104 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:19:18,334] INFO [classification:51] Processing Product #105: 'Panel Office Desk by Modway'
[2026-08-22 15:19:25,548] INFO [classification:166] Successfully classified product #105 -> 'Furniture > Office Furniture' (Confidence: 0.60)
[2026-08-22 15:19:25,576] INFO [classification:51] Processing Product #106: 'Expound Office Desk by Modway'
[2026-08-22 15:19:31,496] INFO [classification:166] Successfully classified product #106 -> 'Furniture > Office Furniture' (Confidence: 0.60)
[2026-08-22 15:19:31,519] INFO [classification:51] Processing Product #107: 'Bin Office Desk by Modway'
[2026-08-22 15:19:37,542] INFO [classification:166] Successfully classified product #107 -> 'Furniture > Office Furniture' (Confidence: 0.60)
[2026-08-22 15:19:37,562] INFO [classification:51] Processing Product #108: 'Bin Office Desk by Modway'
[2026-08-22 15:19:43,575] INFO [classification:166] Successfully classified product #108 -> 'Furniture > Office Furniture' (Confidence: 0.60)
[2026-08-22 15:19:43,600] INFO [classification:51] Processing Product #109: 'Bin Office Desk by Modway'
[2026-08-22 15:19:48,014] INFO [classification:166] Successfully classified product #109 -> 'Furniture > Office Furniture' (Confidence: 0.60)
[2026-08-22 15:19:48,024] INFO [classification:51] Processing Product #110: 'Surplus Office Desk by Modway'
[2026-08-22 15:19:53,065] INFO [classification:166] Successfully classified product #110 -> 'Furniture > Office Furniture' (Confidence: 0.60)
[2026-08-22 15:19:53,089] INFO [classification:51] Processing Product #111: 'Engage Armchair and Sofa Set of 2 by Modway'
[2026-08-22 15:19:57,521] INFO [classification:166] Successfully classified product #111 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
[2026-08-22 15:19:57,533] INFO [classification:51] Processing Product #112: 'Engage Armchair and Sofa Set of 2 by Modway'
[2026-08-22 15:20:01,990] INFO [classification:166] Successfully classified product #112 -> 'Furniture > Furniture Sets > Living Room Furniture Sets' (Confidence: 0.60)
